Case ID,Site ID,Site Name,Url,Submission Date,Case Status,Comments,Username (last person),Site Type,Site Status,Implementing Partner / Donor Agency,Region ID,Region Name,Submission date,Submission date (reformatted),Agency,Donor,Activity date,Activity date (reformatted),Primary Activity,Sub-Activity,boys,girls,men,women,elderly men,elderly women,total participants,PWds,males,females,Indirect beneficiaries,Achieved,IB boys,IB girls,IB men,IB women,IB elderly men,IB elderly women,total indirect beneficiaries,Protection referral pathway (y/n) (based on safety audit),Topic,Topic(s),Other topic,Topic (calculated),Items distributed,Other items,number of leaflets,number of posters,number of hygiene kits,number of dignity kits,number of fire extinguishers,number of first aid kits,number of sand or flour bags,number of toolkits,number of other items,total number of IEC items,Summary,Photo,Photo2,Photo3,Attachment
47631785239191166Y,DEB2355,Aewaa alglees,https://app.zitemanager.org/#/sites/33325/submission-case-detail/47631785239191166Y,2026-07-28,Closed,,mahajamal,MAAN,Active,MAAN,265 - 26510152,Deir Al-Balah - Deir Al Balah (south),2026-07-28,28/07/26,MAAN,ECHO,2026-07-27,27-07-26,"Two-Way Information Sharing, Feedback and Complaints",Awareness sessions,,15,,3,,,18,0,0,18,Yes,18,,350,,,,,350,,,Other,ترفيه,other ترفيه,No Items,,,,,,,,,,,0,"9.	فعاليات الفلكلور الفلسطيني
الفترة: يونيو – يوليو 2026
نوع النشاط: نشاط ثقافي وترفيهي ومجتمعي
الفئة المستهدفة: الأطفال والأسر داخل الموقع
الإشراف: الدكتور أبو أحمد السعودي
مقدمة
في إطار دعم الجانب النفسي والاجتماعي للأطفال وتعزيز الروابط المجتمعية داخل مواقع النزوح، تم تنفيذ سلسلة من فعاليات الفلكلور الفلسطيني داخل موقع الجليس خلال شهري يونيو ويوليو 2026.
جاءت هذه الفعاليات بهدف توفير مساحات آمنة للأطفال للتفاعل والمشاركة، وإحياء الموروث الثقافي الفلسطيني، وتعزيز ارتباط الأطفال بهويتهم وتراثهم، خاصة في ظل الظروف الصعبة التي يعيشونها نتيجة النزوح وفقدان البيئة الاجتماعية المستقرة.
أهداف النشاط
•	تعزيز الهوية الوطنية والثقافية لدى الأطفال. 
•	توفير أنشطة ترفيهية آمنة للأطفال داخل الموقع. 
•	دعم الصحة النفسية والاجتماعية للأطفال. 
•	تعزيز التفاعل والتواصل بين الأطفال. 
•	إحياء عناصر التراث والفلكلور الفلسطيني. 
•	خلق أجواء إيجابية تساعد الأطفال على التعبير والمشاركة. 
آلية تنفيذ النشاط
تم تنفيذ مجموعة من الأنشطة الثقافية والترفيهية بإشراف الدكتور أبو أحمد السعودي، تضمنت فعاليات مرتبطة بالفلكلور الفلسطيني والموروث الشعبي.
شملت الأنشطة:
•	تعريف الأطفال بالعادات والتقاليد الفلسطينية. 
•	تقديم فقرات فنية وتراثية مناسبة للأطفال. 
•	مشاركة الأطفال في أنشطة جماعية تفاعلية. 
•	تشجيع الأطفال على التعبير والمشاركة من خلال الفنون والحركة. 
ساهمت الأنشطة في خلق مساحة ترفيهية وتعليمية تجمع بين المتعة والتعلم، وتعزز الشعور بالانتماء والهوية.
النتائج المحققة
•	توفير بيئة آمنة للأطفال للتفاعل والمشاركة. 
•	تحسين الحالة النفسية للأطفال من خلال الأنشطة الجماعية. 
•	تعزيز معرفة الأطفال بالتراث الفلسطيني. 
•	تقوية العلاقات الاجتماعية بين الأطفال داخل الموقع. 
•	دعم مشاركة الأطفال في أنشطة إيجابية وبناءة. 
الخلاصة
شكلت فعاليات الفلكلور الفلسطيني مساحة مهمة للأطفال للتعبير عن أنفسهم والتفاعل مع أقرانهم، كما ساهمت في تعزيز الهوية الثقافية والانتماء الوطني، وتوفير جانب من الدعم النفسي والاجتماعي للأطفال في ظل ظروف النزوح.
التوصيات
•	الاستمرار في تنفيذ الأنشطة الثقافية والترفيهية للأطفال. 
•	دمج الأنشطة التراثية ضمن برامج الدعم النفسي والاجتماعي. 
•	توفير مساحات آمنة ومنتظمة للأطفال داخل الموقع. 
•	تشجيع مشاركة المجتمع المحلي في تنظيم الأنشطة الثقافية.",,,,
40151785311811476O,KYS1715,Al-Quds,https://app.zitemanager.org/#/sites/31751/submission-case-detail/40151785311811476O,2026-07-29,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-07-29,29/07/26,ACTED,PRM,2026-07-29,29-07-26,"Two-Way Information Sharing, Feedback and Complaints",Awareness sessions,,,20,,,,20,0,20,0,Yes,20,,,5,2,,,7,,,Other,Safety and Security Session,other Safety and Security Session,Brochures/Leaflets,,20,,,,,,,,,20,"Safety and Security Session was conducted at the Community Resource Center (CRC) within Al-Quds Site for 20 Cash for Work (CFW) workers representing the 10 displacement sites managed by ACTED's Site Management Department in Mawasi Khan Younis. The session was organized as part of the emergency shelter rehabilitation activities to strengthen workers’ awareness of occupational health and safety standards, enhance their understanding of security considerations, and ensure the safe implementation of rehabilitation activities across all targeted sites.

During the session, participants were introduced to the importance of maintaining safe working practices and their responsibility for protecting themselves, their colleagues, and the surrounding displaced communities. The discussion covered the most common hazards encountered during shelter rehabilitation activities in displacement settings, including damaged structures, sharp materials, unstable surfaces, manual handling risks, environmental hazards, and potential security threats such as unexploded ordnance (UXO) and suspicious objects.

The training also emphasized the correct use of Personal Protective Equipment (PPE), including safety helmets, protective footwear, gloves, masks, safety glasses, and reflective vests. Practical guidance was provided on applying safe work practices during debris removal, shelter maintenance, handling construction materials, and working around damaged infrastructure.

Participants were introduced to the ""Stop – Assess – Report – Work"" safety approach, encouraging them to identify and report risks before commencing any task. In addition, emergency response procedures were reviewed, including the appropriate actions to take in the event of accidents, security incidents, explosions, or the discovery of hazardous objects, while reinforcing the importance of immediately informing supervisors and adhering to established safety protocols.

The session concluded by reinforcing the principles of prevention, teamwork, accountability, and continuous risk awareness to ensure that emergency shelter rehabilitation activities are implemented safely, efficiently, and in accordance with humanitarian principles, minimizing risks to both workers and displaced communities across the 10 ACTED-managed displacement sites.",,,,
40521785661919101D,DEB3189,Tariq Al-Hayat shelter,https://app.zitemanager.org/#/sites/32419/submission-case-detail/40521785661919101D,2026-08-02,Closed,,tareqaljourani,IOM,Active,NRC,265 - 2650575,Deir Al-Balah - Ar Rasheed,2026-08-02,02/08/26,NRC,PRM,2026-07-30,30-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,"Communal Space Upgrades, Site Safety & Access Improvements",,communal_space site_access,"Sand/Flour Bags, Wooden Pallets",,,,,,,,100,,,0,"As part of ongoing site management support activities, in coordination with Site Management Cluster; NRC Site Management team distributed wooden pallets and sandbags at the site to address key safety and accessibility needs. The wooden pallets were provided to improve safety within the site by covering open pits, thereby reducing the risk of falls and injuries, particularly among children and other vulnerable groups moving around the site in addition to other usage as furniture made for education spaces and administrative tents. Moreover, sandbags were distributed to protect shelters from sand collapse, reinforcing the surrounding ground and reducing the risk of damage to makeshift shelters, especially in areas with unstable or shifting sand. The sandbags and pallets also serve to improve movement across the site by creating safer pathways and steps between low-lying and elevated areas, facilitating access for residents, including older persons and persons with disabilities. 

Note: the photos are general and not specific to the site",https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-07-30_at_5.58.11_PM-12_11_18.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-02_at_11.45.56_AM_6-12_11_39.jpeg&return_type=file,,
40521785662078890Y,GZA4352,Al-Karim Site,https://app.zitemanager.org/#/sites/40078/submission-case-detail/40521785662078890Y,2026-08-02,Closed,,tareqaljourani,IOM,Active,NRC,260 - 2600120,Gaza - Ad Darraj,2026-08-02,02/08/26,NRC,PRM,2026-07-16,16-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,"Communal Space Upgrades, Site Safety & Access Improvements",,communal_space site_access,Wooden Pallets,,,,,,,,,,,0,"As part of ongoing site management support activities, in coordination with Site Management Cluster; NRC Site Management team distributed wooden pallets and at the site to address key safety and accessibility needs. The wooden pallets were provided to improve safety within the site by covering open pits, thereby reducing the risk of falls and injuries, particularly among children and other vulnerable groups moving around the site in addition to other usage as furniture made for education spaces and administrative tents. The pallets also serve to improve movement across the site by creating safer pathways and steps between low-lying and elevated areas, facilitating access for residents, including older persons and persons with disabilities. 

Note: the photos are general and not specific to the site",https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=Alhaya_2-12_13_40.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-02_at_11.46.05_AM_1-12_13_49.jpeg&return_type=file,,
40521785659042095T,GZA4858,Al-Sheikh Ejleen A Site,https://app.zitemanager.org/#/sites/50990/submission-case-detail/40521785659042095T,2026-08-02,Closed,,tareqaljourani,IOM,Active,NRC,260 - 2600112,Gaza - Ash Sheikh 'Ijleen,2026-08-02,02/08/26,NRC,PRM,2026-07-14,14-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,Communal Space Upgrades,,communal_space,"Wooden Pallets, Multipurpose Tents",,,,,,,,,,,0,"NRC Site Management (SM) team in coordination with Site Management Cluster distributed a multi-purpose tent and wooden pallets at the site to address key operational and safety needs. The multi-purpose tent was provided to serve administrative purposes and to support the implementation of site-level activities, including committee meetings, community engagement sessions, and coordination activities, offering a dedicated and suitable space for the Site Management Committee (SMC) and community-based initiatives. In addition, wooden pallets were distributed to improve safety within the site by covering open pits, thereby reducing the risk of injury, particularly for children and other vulnerable groups moving around the site. This intervention contributes to enhancing the overall safety of the site environment, strengthening the capacity of the committee to carry out its functions, and supporting the continuity of site management and community engagement activities for the benefit of the displaced population.",https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=AlShiekh_Ajleen_A_8-11_18_33.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=AlShiekh_Ajleen_A_4-11_18_44.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=AlKareem_DEB-11_18_55.jpeg&return_type=file,
40521785652006675Y,KYS4697,Al-Fajer Site,https://app.zitemanager.org/#/sites/47187/submission-case-detail/40521785652006675Y,2026-08-02,Closed,,tareqaljourani,IOM,Active,NRC,270 - 27002154,Khan Younis - Al Mawasi,2026-08-02,02/08/26,NRC,PRM,2026-07-09,09-07-26,Community Participation and Representation,Community or Committee Meeting,,,17,6,0,0,23,0,17,6,,23,,,,,,,,,"Programming Specific Meetings (e.g. project inductions, cash for work, etc.)",,,program_specific_meeting,,,,,,,,,,,,,"Discussion with the Site Management Committee – Water Network Extension Initiative, Al-Fajr Site

During the discussion, the Site Management Committee (SMC) members raised the issue of water access as one of the most pressing challenges facing residents of Al-Fajr Site. They explained that several sections of the site remain unconnected to the existing water distribution network, forcing many households to walk long distances to reach the nearest water collection point. Committee members emphasized that this places an additional burden on displaced families, particularly vulnerable groups such as older persons, persons with disabilities, women, and children. They also noted that the limited quantity of available water prevents many households from meeting their daily water needs on a consistent basis.
In response to these concerns, the proposed initiative was discussed with the committee as a means of addressing these urgent needs by extending the water distribution network to the currently underserved sections of the site. The SMC members agreed that this intervention would ensure a more equitable distribution of water, reduce the time and effort required for water collection, and provide households with easier and more reliable access to this essential service.
The discussion also covered the procurement of an electrical cable to connect an additional water well located at a distance from the existing well. Committee members confirmed that the municipality provides a generator with sufficient capacity to operate both wells simultaneously, and that connecting the second well would allow both wells to operate at the same time, increasing water production capacity and improving the continuity and reliability of the water supply throughout the site.
At the conclusion of the discussion, the SMC members expressed their strong support for the initiative, noting that it is expected to enhance the efficiency of the site's water distribution system, increase the amount of water available to residents, ensure that all sections of the site are adequately served, and reduce the burden on displaced households in accessing water. The committee agreed that the initiative will contribute to improving the overall living conditions and public health of more than 1,250 displaced households residing at Al-Fajr Site.",,,,
47621785565947080O,DEB2365,Badr Wa Awda Site,https://app.zitemanager.org/#/sites/32080/submission-case-detail/47621785565947080O,2026-08-02,Closed,,harresyakubi,MAAN,Active,MAAN,265 - 26510152,Deir Al-Balah - Deir Al Balah (south),2026-08-01,01/08/26,MAAN,ECHO,2026-07-29,29-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,Solar or Electric Lighting,,solar_electric,No Items,,,,,,,,,,,0,"Distribution of 122 solar rechargeable lights to 122 households in Al-Badr and Al-Awda camps to improve site lighting, increase safety and security during nighttime, and enhance overall living conditions for displaced families.",https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-01_at_9.31.25_AM_1-9_31_59.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-01_at_9.31.25_AM-9_32_4.jpeg&return_type=file,,
47621785566528157G,DEB2794,Al-Rahma,https://app.zitemanager.org/#/sites/32328/submission-case-detail/47621785566528157G,2026-08-02,Closed,,harresyakubi,MAAN,Active,MAAN,265 - 26510152,Deir Al-Balah - Deir Al Balah (south),2026-08-01,01/08/26,MAAN,ECHO,2026-07-27,27-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,Solar or Electric Lighting,,solar_electric,No Items,,,,,,,,,,,0,"A total of 237 solar rechargeable lights were distributed to 237 households in Al Rahma Camp to improve site lighting, enhance safety and security during nighttime, and support better living conditions for displaced families, particularly during power outages.",https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-01_at_9.40.50_AM_1-9_41_41.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-01_at_9.40.51_AM-9_41_44.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-01_at_9.40.50_AM-9_41_51.jpeg&return_type=file,
47621785567242159J,DEB0106,Al-Sabaatash (Camp 17),https://app.zitemanager.org/#/sites/31322/submission-case-detail/47621785567242159J,2026-08-02,Closed,,harresyakubi,MAAN,Active,MAAN,265 - 26510152,Deir Al-Balah - Deir Al Balah (south),2026-08-01,01/08/26,MAAN,ECHO,2026-07-27,27-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,Solar or Electric Lighting,,solar_electric,No Items,,,,,,,,,,,0,"346 solar rechargeable lights were distributed to 346 households in Camp 17 (Fayyad Land). The intervention improved lighting within the site, enhanced safety and security during nighttime, and contributed to better living conditions for displaced families, especially during electricity outages.",https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-01_at_9.51.03_AM-9_53_35.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-01_at_9.51.03_AM_1-9_53_40.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-01_at_9.51.02_AM-9_53_47.jpeg&return_type=file,
40521785662885437C,DEB4576,Al Ramla Site,https://app.zitemanager.org/#/sites/46113/submission-case-detail/40521785662885437C,2026-08-02,Closed,,tareqaljourani,IOM,Active,NRC,265 - 26510152,Deir Al-Balah - Deir Al Balah (south),2026-08-02,02/08/26,NRC,PRM,2026-07-30,30-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,Site Safety & Access Improvements,,site_access,Sand/Flour Bags,,,,,,,,100,,,0,"As part of ongoing site management support activities, in coordination with Site Management Cluster; NRC Site Management team distributed sandbags at the site to address key safety and accessibility needs. The  sandbags were distributed to protect shelters from sand collapse, reinforcing the surrounding ground and reducing the risk of damage to makeshift shelters, especially in areas with unstable or shifting sand. The sandbags also serve to improve movement across the site by creating safer pathways and steps between low-lying and elevated areas, facilitating access for residents, including older persons and persons with disabilities. 

Note: the photos are general and not specific to the site",https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-07-30_at_5.58.10_PM_3-12_27_35.jpeg&return_type=file,,,
40521785662997285X,DEB2303,al trainy,https://app.zitemanager.org/#/sites/32058/submission-case-detail/40521785662997285X,2026-08-02,Closed,,tareqaljourani,IOM,Active,NRC,265 - 2650575,Deir Al-Balah - Ar Rasheed,2026-08-02,02/08/26,NRC,PRM,2026-07-30,30-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,Site Safety & Access Improvements,,site_access,Sand/Flour Bags,,,,,,,,250,,,0,"As part of ongoing site management support activities, in coordination with Site Management Cluster; NRC Site Management team distributed sandbags at the site to address key safety and accessibility needs. The  sandbags were distributed to protect shelters from sand collapse, reinforcing the surrounding ground and reducing the risk of damage to makeshift shelters, especially in areas with unstable or shifting sand. The sandbags also serve to improve movement across the site by creating safer pathways and steps between low-lying and elevated areas, facilitating access for residents, including older persons and persons with disabilities. 

Note: the photos are general and not specific to the site",https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-07-30_at_5.58.07_PM_1-12_29_39.jpeg&return_type=file,,,
40521785663116108C,GZA4830,Fares 1 Site,https://app.zitemanager.org/#/sites/50110/submission-case-detail/40521785663116108C,2026-08-02,Closed,,tareqaljourani,IOM,Active,NRC,260 - 2600119,Gaza - Southern Remal,2026-08-02,02/08/26,NRC,PRM,2026-07-16,16-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,"Communal Space Upgrades, Site Safety & Access Improvements",,communal_space site_access,Wooden Pallets,,,,,,,,,,,0,"As part of ongoing site management support activities, in coordination with Site Management Cluster; NRC Site Management team distributed wooden pallets and at the site to address key safety and accessibility needs. The wooden pallets were provided to improve safety within the site by covering open pits, thereby reducing the risk of falls and injuries, particularly among children and other vulnerable groups moving around the site in addition to other usage as furniture made for education spaces and administrative tents. The pallets also serve to improve movement across the site by creating safer pathways and steps between low-lying and elevated areas, facilitating access for residents, including older persons and persons with disabilities. 

Note: the photos are general and not specific to the site",https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-02_at_11.45.56_AM_2-12_31_27.jpeg&return_type=file,,,
40521785660918105D,DEB3489,Abu Shmeis,https://app.zitemanager.org/#/sites/33515/submission-case-detail/40521785660918105D,2026-08-02,Closed,,tareqaljourani,IOM,Active,NRC,265 - 2650579,Deir Al-Balah - Al Awda,2026-08-02,02/08/26,NRC,PRM,2026-07-30,30-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,Site Safety & Access Improvements,,site_access,"Sand/Flour Bags, Wooden Pallets",,,,,,,,100,,,0,"As part of ongoing site management support activities, in coordination with Site Management Cluster; NRC Site Management team distributed wooden pallets and sandbags at the site to address key safety and accessibility needs. The wooden pallets were provided to improve safety within the site by covering open pits, thereby reducing the risk of falls and injuries, particularly among children and other vulnerable groups moving around the site. In addition, sandbags were distributed to protect shelters from sand collapse, reinforcing the surrounding ground and reducing the risk of damage to makeshift shelters, especially in areas with unstable or shifting sand. The sandbags and pallets also serve to improve movement across the site by creating safer pathways and steps between low-lying and elevated areas, facilitating access for residents, including older persons and persons with disabilities. 

Note: the photos are general and not specific to the site",https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-07-30_at_5.57.58_PM-11_51_48.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-02_at_11.45.55_AM_1-11_54_50.jpeg&return_type=file,,
40151785709268019W,KYS0825,Al-Jawhari,https://app.zitemanager.org/#/sites/31498/submission-case-detail/40151785709268019W,2026-08-02,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-08-03,03/08/26,ACTED,PRM,2026-07-30,30-07-26,Community Participation and Representation,Community or Committee Meeting,,,4,0,0,0,4,0,4,0,,4,,,,,,,,,"Programming Specific Meetings (e.g. project inductions, cash for work, etc.)",,,program_specific_meeting,,,,,,,,,,,,,"A coordination meeting was conducted by ACTED's Site Management team at Al Jawhari Site with representatives from Al Fedaa, Al Bwasil, and Al Shaheed Jameel displacement sites to prepare for the implementation of Community-Led Initiatives (CLIs). The session focused on strengthening the administrative and financial readiness of site representatives by introducing the implementation procedures, clarifying documentation requirements, and reinforcing accountability throughout the initiative lifecycle. Participants received comprehensive guidance on the financial management process, including procurement procedures, the mandatory use of official tax invoices, supplier documentation, payment verification, and labor payment records to ensure compliance with project requirements and donor standards. To facilitate standardized implementation, ACTED distributed the complete set of financial and administrative templates required for the CLIs, including supplier invoices, delivery receipts, payment acknowledgments, workers' attendance sheets, worker payment forms, and final supplier declarations. The meeting also provided an opportunity to address site-specific implementation questions. Representatives from Al Fedaa Site discussed the planned procurement of furniture under their initiative and confirmed that it would complement, rather than duplicate, the furniture support to be provided separately by ACTED, ensuring efficient use of available resources while enhancing activities for children and community members. Throughout the session, ACTED emphasized the importance of transparent financial management, adherence to approved budgets, timely implementation, and continuous coordination between site representatives and the Site Management team. To strengthen communication and facilitate real-time follow-up during implementation, dedicated WhatsApp groups were established for each initiative, enabling rapid coordination, technical support, and administrative guidance. The meeting concluded with agreement from all participants to begin implementation promptly while complying with the established financial procedures and documentation requirements. Overall, the session enhanced the capacity of community representatives to manage their initiatives effectively, strengthened coordination between ACTED and the participating sites, and established a clear framework for accountable, timely, and quality implementation of the Community-Led Initiatives across the three targeted displacement sites",,,,
40521785663316274U,GZA6014,Sanad Site,https://app.zitemanager.org/#/sites/43040/submission-case-detail/40521785663316274U,2026-08-02,Closed,,tareqaljourani,IOM,Active,NRC,260 - 2600119,Gaza - Southern Remal,2026-08-02,02/08/26,NRC,PRM,2026-07-16,16-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,"Communal Space Upgrades, Site Safety & Access Improvements",,communal_space site_access,Wooden Pallets,,,,,,,,,,,0,"As part of ongoing site management support activities, in coordination with Site Management Cluster; NRC Site Management team distributed wooden pallets and at the site to address key safety and accessibility needs. The wooden pallets were provided to improve safety within the site by covering open pits, thereby reducing the risk of falls and injuries, particularly among children and other vulnerable groups moving around the site in addition to other usage as furniture made for education spaces and administrative tents. The pallets also serve to improve movement across the site by creating safer pathways and steps between low-lying and elevated areas, facilitating access for residents, including older persons and persons with disabilities. 

Note: the photos are general and not specific to the site",https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-02_at_11.46.05_AM-12_34_45.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-02_at_11.46.05_AM_3-12_34_53.jpeg&return_type=file,,
47631785586240697C,DEB4779,Nazihi Alshamal,https://app.zitemanager.org/#/sites/47534/submission-case-detail/47631785586240697C,2026-08-01,Closed,,mahajamal,MAAN,Active,MAAN,265 - 26510152,Deir Al-Balah - Deir Al Balah (south),2026-08-01,01/08/26,MAAN,ECHO,2026-07-21,21-07-26,"Two-Way Information Sharing, Feedback and Complaints",Awareness sessions,,,22,,3,,25,1,25,0,Yes,25,150,150,300,300,30,30,960,,,"Child Protection, General Protection, Gender Based Violence",,CP GP GBV,No Items,,,,,,,,,,,0,"الورشة التوعوية حول أنواع الاضطرابات الشخصية وكيفية السيطرة عليها
التاريخ: 21/07/2026
نوع النشاط: جلسة توعية (Awareness Session)
في ظل الضغوط النفسية والاجتماعية المتزايدة التي تعيشها الأسر النازحة نتيجة ظروف النزوح المستمرة، نُفذت جلسة توعوية استهدفت أرباب الأسر بهدف تعزيز الوعي بالصحة النفسية، وتنمية القدرة على التعامل مع الضغوط والانفعالات بما ينعكس إيجابًا على الاستقرار الأسري والمجتمعي.
أهداف الجلسة
•	تعزيز الوعي بأهمية الصحة النفسية في حياة الفرد والأسرة. 
•	التعريف بمفهوم اضطرابات الشخصية والفرق بينها وبين الاضطرابات النفسية الأخرى. 
•	توضيح أبرز أنواع اضطرابات الشخصية وخصائصها العامة. 
•	تنمية مهارات إدارة الضغوط والانفعالات. 
•	تشجيع المشاركين على طلب المساعدة النفسية المتخصصة عند الحاجة. 
•	تعزيز أساليب التواصل الإيجابي داخل الأسرة. 
آلية تنفيذ النشاط
افتتحت الجلسة بالتعريف بمفهوم الصحة النفسية وأهميتها في مواجهة التحديات اليومية داخل بيئة النزوح، ثم قدم المدرب شرحًا مبسطًا حول اضطرابات الشخصية، مع توضيح الفروق بينها وبين الاضطرابات النفسية الأخرى بطريقة تناسب المشاركين.
كما تناولت الجلسة تأثير الضغوط المستمرة على السلوك والعلاقات الأسرية، واستعرضت مجموعة من الأساليب العملية لإدارة التوتر، والتحكم بالغضب، والتعامل مع الضغوط اليومية، بالإضافة إلى أهمية الحوار الأسري والدعم المتبادل بين أفراد الأسرة.
وتخللت الورشة مناقشات جماعية أتاحت للمشاركين مشاركة تجاربهم اليومية، وطرح أبرز التحديات التي تواجههم في ظل ظروف النزوح، حيث تم تقديم إرشادات عملية تساعدهم على التعامل مع تلك التحديات بصورة أكثر إيجابية.
النتائج المحققة
•	زيادة وعي المشاركين بمفاهيم الصحة النفسية. 
•	تحسين فهمهم لاضطرابات الشخصية وآثارها على العلاقات الاجتماعية. 
•	تعزيز مهارات التحكم بالانفعالات وإدارة الضغوط. 
•	تشجيع المشاركين على تبني أساليب تواصل أكثر إيجابية داخل الأسرة. 
•	رفع مستوى تقبل فكرة اللجوء إلى الدعم النفسي عند الحاجة. 
الخلاصة
حققت الورشة أهدافها في تعزيز الوعي بالصحة النفسية لدى المشاركين، وأسهمت في تزويدهم بمهارات عملية تساعدهم على التعامل مع الضغوط اليومية، بما ينعكس إيجابًا على استقرار الأسرة وتحسين العلاقات الاجتماعية داخل الموقع.
التوصيات
•	الاستمرار في تنفيذ جلسات الدعم النفسي والتوعية المجتمعية. 
•	تنظيم ورش متخصصة حول إدارة الضغوط النفسية والتربية الإيجابية. 
•	تعزيز الإحالة إلى خدمات الدعم النفسي للحالات التي تحتاج إلى متابعة. 
•	تشجيع الأنشطة المجتمعية التي تعزز التماسك الاجتماعي والدعم المتبادل بين الأسر. 
•	إدماج موضوعات الصحة النفسية ضمن الأنشطة التوعوية الدورية داخل الموقع.",,,,
76341785833290901E,GZA6012,Al-Abbas Site,https://app.zitemanager.org/#/sites/43033/submission-case-detail/76341785833290901E,2026-08-04,Closed,,rajaa,MAAN,Active,MAAN,260 - 2600118,Gaza - Northern Remal,2026-08-04,04/08/26,MAAN,ECHO,2026-07-20,20-07-26,Site Environment Improvements,"Site improvements, Care and Maintenance",,,230,0,0,0,230,15,230,0,,230,,,,,,,,,,Solar or Electric Lighting,,solar_electric,No Items,,,,,,,,,,,0,تم توزيع على سكان المخيم 230 كشاف شمسى وقدم لمزودى الرعاية حيث يساعهم  على تسهيل حركتهم فى ساعات الليل,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-04_at_11.46.02_AM-11_47_51.jpeg&return_type=file,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=WhatsApp_Image_2026-08-04_at_11.46.03_AM_1-11_48_0.jpeg&return_type=file,,
